ADHOME = D:\SVN\ad2005
jaso2jh() wrong!8861 -  2 3 1
jaso2jh() wrong!8862 -  2 3 2
jaso2jh() wrong!8865 -  2 3 5
jaso2jh() wrong!8868 -  2 3 8
jaso2jh() wrong!8869 -  2 3 9
jaso2jh() wrong!886A -  2 3 A
jaso2jh() wrong!886B -  2 3 B
jaso2jh() wrong!8871 -  2 3 11
jaso2jh() wrong!8873 -  2 3 13
jaso2jh() wrong!8874 -  2 3 14
jaso2jh() wrong!8875 -  2 3 15
jaso2jh() wrong!8876 -  2 3 16
jaso2jh() wrong!8877 -  2 3 17
jaso2jh() wrong!8878 -  2 3 18
jaso2jh() wrong!8879 -  2 3 19
jaso2jh() wrong!887B -  2 3 1B
jaso2jh() wrong!887C -  2 3 1C
jaso2jh() wrong!887D -  2 3 1D
jaso2jh() wrong!8881 -  2 4 1
jaso2jh() wrong!8882 -  2 4 2
jaso2jh() wrong!8885 -  2 4 5
jaso2jh() wrong!8889 -  2 4 9
jaso2jh() wrong!8891 -  2 4 11
jaso2jh() wrong!8893 -  2 4 13
jaso2jh() wrong!8895 -  2 4 15
jaso2jh() wrong!8896 -  2 4 16
jaso2jh() wrong!8897 -  2 4 17
jaso2jh() wrong!88A1 -  2 5 1
jaso2jh() wrong!88A2 -  2 5 2
jaso2jh() wrong!88A5 -  2 5 5
jaso2jh() wrong!88A9 -  2 5 9
jaso2jh() wrong!88B5 -  2 5 15
jaso2jh() wrong!88B7 -  2 5 17
jaso2jh() wrong!88C1 -  2 6 1
jaso2jh() wrong!88C5 -  2 6 5
jaso2jh() wrong!88C9 -  2 6 9
jaso2jh() wrong!88E1 -  2 7 1
jaso2jh() wrong!88E2 -  2 7 2
jaso2jh() wrong!88E5 -  2 7 5
jaso2jh() wrong!88E8 -  2 7 8
jaso2jh() wrong!88E9 -  2 7 9
jaso2jh() wrong!88EB -  2 7 B
jaso2jh() wrong!88F1 -  2 7 11
jaso2jh() wrong!88F3 -  2 7 13
jaso2jh() wrong!88F5 -  2 7 15
jaso2jh() wrong!88F6 -  2 7 16
jaso2jh() wrong!88F7 -  2 7 17
jaso2jh() wrong!88F8 -  2 7 18
jaso2jh() wrong!88FB -  2 7 1B
jaso2jh() wrong!88FC -  2 7 1C
jaso2jh() wrong!88FD -  2 7 1D
jaso2jh() wrong!8941 -  2 A 1
jaso2jh() wrong!8945 -  2 A 5
jaso2jh() wrong!8949 -  2 A 9
jaso2jh() wrong!8951 -  2 A 11
jaso2jh() wrong!8953 -  2 A 13
jaso2jh() wrong!8955 -  2 A 15
jaso2jh() wrong!8956 -  2 A 16
jaso2jh() wrong!8957 -  2 A 17
jaso2jh() wrong!8961 -  2 B 1
jaso2jh() wrong!8962 -  2 B 2
jaso2jh() wrong!8963 -  2 B 3
jaso2jh() wrong!8965 -  2 B 5
jaso2jh() wrong!8968 -  2 B 8
jaso2jh() wrong!8969 -  2 B 9
jaso2jh() wrong!8971 -  2 B 11
jaso2jh() wrong!8973 -  2 B 13
jaso2jh() wrong!8975 -  2 B 15
jaso2jh() wrong!8976 -  2 B 16
jaso2jh() wrong!8977 -  2 B 17
jaso2jh() wrong!897B -  2 B 1B
jaso2jh() wrong!8981 -  2 C 1
jaso2jh() wrong!8985 -  2 C 5
jaso2jh() wrong!8989 -  2 C 9
jaso2jh() wrong!8993 -  2 C 13
jaso2jh() wrong!8995 -  2 C 15
jaso2jh() wrong!89A1 -  2 D 1
jaso2jh() wrong!89A2 -  2 D 2
jaso2jh() wrong!89A5 -  2 D 5
jaso2jh() wrong!89A8 -  2 D 8
jaso2jh() wrong!89A9 -  2 D 9
jaso2jh() wrong!89AB -  2 D B
jaso2jh() wrong!89AD -  2 D D
jaso2jh() wrong!89B0 -  2 D 10
jaso2jh() wrong!89B1 -  2 D 11
jaso2jh() wrong!89B3 -  2 D 13
jaso2jh() wrong!89B5 -  2 D 15
jaso2jh() wrong!89B7 -  2 D 17
jaso2jh() wrong!89B8 -  2 D 18
jaso2jh() wrong!89C1 -  2 E 1
jaso2jh() wrong!89C2 -  2 E 2
jaso2jh() wrong!89C5 -  2 E 5
jaso2jh() wrong!89C9 -  2 E 9
jaso2jh() wrong!89CB -  2 E B
jaso2jh() wrong!89D1 -  2 E 11
jaso2jh() wrong!89D3 -  2 E 13
jaso2jh() wrong!89D5 -  2 E 15
jaso2jh() wrong!89D7 -  2 E 17
jaso2jh() wrong!89E1 -  2 F 1
jaso2jh() wrong!89E5 -  2 F 5
jaso2jh() wrong!89E9 -  2 F 9
jaso2jh() wrong!89F1 -  2 F 11
jaso2jh() wrong!89F6 -  2 F 16
jaso2jh() wrong!89F7 -  2 F 17
jaso2jh() wrong!8A41 -  2 12 1
jaso2jh() wrong!8A42 -  2 12 2
jaso2jh() wrong!8A45 -  2 12 5
jaso2jh() wrong!8A49 -  2 12 9
jaso2jh() wrong!8A51 -  2 12 11
jaso2jh() wrong!8A53 -  2 12 13
jaso2jh() wrong!8A55 -  2 12 15
jaso2jh() wrong!8A57 -  2 12 17
jaso2jh() wrong!8A61 -  2 13 1
jaso2jh() wrong!8A65 -  2 13 5
jaso2jh() wrong!8A69 -  2 13 9
jaso2jh() wrong!8A73 -  2 13 13
jaso2jh() wrong!8A75 -  2 13 15
jaso2jh() wrong!8A81 -  2 14 1
jaso2jh() wrong!8A82 -  2 14 2
jaso2jh() wrong!8A85 -  2 14 5
jaso2jh() wrong!8A88 -  2 14 8
jaso2jh() wrong!8A89 -  2 14 9
jaso2jh() wrong!8A8A -  2 14 A
jaso2jh() wrong!8A8B -  2 14 B
jaso2jh() wrong!8A90 -  2 14 10
jaso2jh() wrong!8A91 -  2 14 11
jaso2jh() wrong!8A93 -  2 14 13
jaso2jh() wrong!8A95 -  2 14 15
jaso2jh() wrong!8A97 -  2 14 17
jaso2jh() wrong!8A98 -  2 14 18
jaso2jh() wrong!8AA1 -  2 15 1
jaso2jh() wrong!8AA2 -  2 15 2
